ID,DR,Gaia,RAhRAmRAs,DEdDEmDEs,Gmag,GBPmag,GRPmag,N,RMS,Mm,n_
W2317,DR2,6045478459856735232,162335.24,-262651.8,16.12,16.68,15.36,3638,1.28,1.000,
W2318,DR2,6045466605746442880,162335.24,-262823.1,16.42,16.77,15.60,3598,6.40,1.000,
W2319,DR2,6045503301948324736,162335.24,-262125.6,18.29,18.81,17.43,3596,7.95,1.000,
W2320,DR2,6045466502667177088,162335.25,-262928.9,17.23,17.61,16.08,3627,17.83,0.000,
W2321,DR2,6045502339875627264,162335.25,-262303.6,17.07,17.60,16.32,3636,2.59,1.000,
W2322,DR2,6045478562928237952,162335.26,-262622.7,17.50,17.46,16.24,3490,42.49,1.000,
W2323,DR2,6045503194562748672,162335.26,-262222.3,17.91,18.45,17.09,3608,6.24,1.000,
W2324,DR2,6045502339875621248,162335.27,-262331.2,17.76,18.30,16.95,3582,10.39,1.000,
W2325,DR2,6045478562928230144,162335.28,-262625.0,18.58,18.53,17.57,3415,74.82,1.000,
W2326,DR2,6045466601435720704,162335.28,-262759.9,18.41,18.84,17.51,3614,14.88,1.000,
W2327,DR2,6045466502657721344,162335.28,-262930.6,18.00,17.74,16.34,3478,35.23,1.000,
W2328,DR2,6045502335564039168,162335.30,-262309.2,18.81,19.28,17.91,3610,11.42,0.002,
W2329,DR2,6045466502657739008,162335.30,-262926.1,16.76,16.62,15.54,3653,13.21,1.000,
W2330,DR2,6045478459856705024,162335.31,-262722.9,15.46,16.11,14.57,3650,0.78,1.000,
W2331,DR2,6045478562935978624,162335.33,-262609.4,16.40,16.92,15.65,3653,14.94,1.000,
W2332,DR2,6045478558624886400,162335.33,-262552.6,18.68,19.06,17.76,2689,228.07,0.038,
W2333,DR2,6045466605737156992,162335.34,-262809.3,18.58,18.84,17.40,3628,18.00,1.000,
W2334,DR2,6045466605737142656,162335.35,-262821.6,18.12,17.67,16.25,3587,14.74,1.000,
W2335,DR2,6045502339875617920,162335.35,-262343.4,17.41,17.91,16.61,3592,4.37,1.000,
W2336,DR2,6045503194557550848,162335.36,-262209.3,18.26,18.78,17.40,3609,6.46,1.000,
W2337,DR2,6045502339875622528,162335.38,-262322.4,14.85,15.44,14.10,3612,0.66,0.000,
W2338,DR2,6045466502657668480,162335.39,-262941.4,17.42,17.84,16.57,3649,14.59,1.000,
W2339,DR2,6045478459856998912,162335.39,-262641.2,16.25,16.78,15.51,3629,1.52,1.000,
W2340,DR2,6045502232484737408,162335.41,-262415.1,18.34,18.79,17.44,3621,10.20,1.000,
W2341,DR2,6045466605746425088,162335.42,-262853.2,16.05,16.59,15.29,3608,2.42,1.000,
W2342,DR2,6045478562935983232,162335.42,-262601.1,13.12,13.74,12.36,3699,0.65,1.000,
W2343,DR2,6045503228926706688,162335.44,-262137.7,18.88,19.38,17.90,3618,12.71,1.000,
W2344,DR2,6045478459848862208,162335.45,-262725.8,17.07,17.48,16.21,3632,4.56,1.000,
W2345,DR2,6045466704514944512,162335.46,-262754.9,18.62,19.05,17.68,3588,15.35,1.000,
